cnt,town,popqipu,preds,wp,gpw
建德市,三都镇,17614.0,6542.455306443477,15166.57113600001,14565.637892499986
建德市,下涯镇,18431.0,19086.891729224,46185.594825999986,17598.467159999993
建德市,乾潭镇,39545.0,38581.2940803156,58413.45617800004,65395.471311
建德市,大同镇,34652.0,32704.9216436955,39642.930491000065,39018.17968999998
建德市,大慈岩镇,13246.0,8135.100007650202,18591.18692530002,20943.646500000003
建德市,大洋镇,22145.0,9506.495466624076,19679.148275599986,33672.696928
建德市,寿昌镇,39273.0,35041.556616187605,52819.56355300009,46246.7507015
建德市,新安江街道,111433.0,158211.23601825107,89597.73965900014,123281.16568900004
建德市,更楼街道,19966.0,19619.317250284792,27657.454902499954,26173.610825
建德市,李家镇,12256.0,6101.429296857021,17391.108644200005,9254.775752000005
建德市,杨村桥镇,14458.0,13046.94793337677,22393.96825099999,10900.027353
建德市,梅城镇,38969.0,44048.86921638567,43721.297996,58528.278033599985
建德市,洋溪街道,24725.0,30506.594614580914,47659.36479699994,21134.946087999997
建德市,航头镇,22461.0,15042.383317804766,26573.42634249999,41582.39584700003
建德市,莲花镇,7136.0,3264.60341326816,6094.180816499996,5119.551848000002
建德市,钦堂乡,6399.0,3299.9914348260077,13660.012240999997,11251.947584000007
淳安县,中洲镇,9018.0,2922.588201609607,7545.894723400002,13535.707709999997
淳安县,临岐镇,12847.0,7427.148754886597,7517.189707500001,19480.87544399999
淳安县,千岛湖镇,143215.0,214024.5084807761,260096.83164850003,122079.39552494395
淳安县,大墅镇,7321.0,4890.9574877299465,6285.337237499995,14983.3467657
淳安县,姜家镇,13587.0,9477.882989481304,11430.22399399999,20710.013252499986
淳安县,威坪镇,20676.0,14801.92863226714,24429.043111500025,32013.859576999992
淳安县,安阳乡,5718.0,2590.1624633584993,5304.789064000001,5942.684375499994
淳安县,宋村乡,2651.0,1259.8167258331584,1489.8069824999995,8743.884370099999
淳安县,富文乡,4195.0,1184.9196308963405,1266.4482895000006,4859.302045999999
淳安县,屏门乡,6493.0,1045.6112666206966,2327.295451500001,11926.848983000003
淳安县,左口乡,5160.0,1763.6579026893824,1999.6577380000003,9389.353953680004
淳安县,文昌镇,8690.0,11405.555638185391,8694.142459500004,10665.164989999976
淳安县,枫树岭镇,8745.0,3000.906334831987,9280.840479499999,18853.301417000017
淳安县,梓桐镇,8459.0,4507.530895145727,11094.392852999987,18365.831372000008
淳安县,汾口镇,30779.0,28737.391168223057,36871.250692999994,46153.084329000005
淳安县,浪川乡,9436.0,8643.286233730722,10015.926486399998,6120.415489000001
淳安县,瑶山乡,5523.0,574.2248000813325,2673.317364999999,6687.598586999999
淳安县,界首乡,5003.0,4586.783062249015,7314.650148999996,8337.516552939996
淳安县,石林镇,2612.0,1358.5134816635994,1676.3899354999996,4004.2696906150036
淳安县,里商乡,5145.0,2343.1703054670993,2770.9377624999997,15100.325873759974
淳安县,金峰乡,2440.0,1125.2824811995113,2137.4911640000005,9892.83193138
淳安县,鸠坑乡,2997.0,1285.173063073641,1429.1110604999994,11681.493913999997
滨江区,浦沿街道,192265.0,154907.31438011464,104109.01231050001,174506.051883
滨江区,西兴街道,143318.0,178840.86137014936,88347.9074170003,19669.97772
滨江区,长河街道,168276.0,169781.64718681236,128564.78422149984,110413.10503
西湖区,三墩镇,262839.0,231582.38842220604,168359.32603999987,145934.14674000003
西湖区,北山街道,25743.0,10250.750483219308,27931.386689999996,29941.529000000002
西湖区,双浦镇,71921.0,55464.46294754479,155869.94697200018,108628.43127499998
西湖区,古荡街道,90251.0,87024.32774757498,70090.744835,78010.42549999998
西湖区,文新街道,116577.0,67742.26840351215,53163.62074800004,26650.3894
西湖区,灵隐街道,41766.0,28415.647916611895,39937.348861999984,33894.2948
西湖区,留下街道,121295.0,106269.5137530505,106309.2374205001,142380.22899000006
西湖区,翠苑街道,73079.0,137438.19317223434,81569.78139599998,158058.66899999997
西湖区,蒋村街道,87970.0,95450.18666678727,55967.16278449998,21600.4691
西湖区,西溪街道,70595.0,66436.79439158505,65193.81397999999,124917.263
西湖区,转塘街道,127193.0,150160.7245489036,217236.88325750007,58520.230455
